;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
175;Cormoranche-sur-Saône;CORMORANCHE SUR SAONE ;1290;1123;82;46.233333;4.833333;1.74
176;Bey;BEY   ;1290;1042;82;46.216667;4.85;1.68
177;Grièges;GRIEGES   ;1290;1179;82;46.25;4.85;1.68
178;Cruzilles-lès-Mépillat;CRUZILLES LES MEPILLAT ;1290;1136;82;46.216667;4.883333;1.57
179;Laiz;LAIZ   ;1290;1203;82;46.25;4.883333;1.57
180;Pont-de-Veyle;PONT DE VEYLE ;1290;1306;82;46.266667;4.883333;1.57
181;Saint-André-d'Huiriat;SAINT ANDRE D HUIRIAT;1290;1334;82;46.216667;4.916667;1.46
182;Saint-Jean-sur-Veyle;SAINT JEAN SUR VEYLE;1290;1365;82;46.25;4.916667;1.46
183;Biziat;BIZIAT   ;1290;1046;82;46.216667;4.933333;1.51
184;Saint-Benoît;SAINT BENOIT  ;1300;1338;82;45.7;5.583333;2.31
185;Ambléon;AMBLEON   ;1300;1006;82;45.75;5.6;2.01
186;Conzieu;CONZIEU   ;1300;1117;82;45.733333;5.6;2.11
187;Brégnier-Cordon;BREGNIER CORDON  ;1300;1058;82;45.65;5.616667;2.61
188;Colomieu;COLOMIEU   ;1300;1110;82;45.733333;5.616667;2.11
189;Saint-Germain-les-Paroisses;SAINT GERMAIN LES PAROISSES;1300;1358;82;45.766667;5.616667;1.91
190;Contrevoz;CONTREVOZ   ;1300;1116;82;45.8;5.633333;1.71
191;Izieu;IZIEU   ;1300;1193;82;45.65;5.633333;2.61
192;Saint-Bois;SAINT BOIS  ;1300;1340;82;45.7;5.633333;2.31
193;Andert-et-Condon;ANDERT ET CONDON ;1300;1009;82;45.8;5.65;1.71
194;Arbignieu;ARBIGNIEU   ;1300;1015;82;45.733333;5.65;2.11
195;Prémeyzel;PREMEYZEL   ;1300;1310;82;45.683333;5.65;2.41
196;Murs-et-Gélignieux;MURS ET GELIGNIEUX ;1300;1268;82;45.633333;5.666667;2.71
197;Belley;BELLEY   ;1300;1034;82;45.766667;5.683333;1.91
198;Chazey-Bons;CHAZEY BONS  ;1300;1098;82;45.8;5.683333;1.71
199;Magnieu;MAGNIEU   ;1300;1227;82;45.783333;5.716667;1.81
200;Marignieu;MARIGNIEU   ;1300;1234;82;45.8;5.716667;1.71
201;Virignin;VIRIGNIN   ;1300;1454;82;45.716667;5.716667;2.21
202;Saint-Champ-Chatonod;SAINT CHAMP CHATONOD ;1300;1341;82;45.783333;5.733333;1.81
203;Parves;PARVES   ;1300;1286;82;45.75;5.75;2.01
204;Massignieu-de-Rives;MASSIGNIEU DE RIVES ;1300;1239;82;45.75;5.766667;2.01
205;Nattages;NATTAGES   ;1300;1271;82;45.733333;5.766667;2.11
206;Confrançon;CONFRANCON   ;1310;1115;82;46.266667;5.066667;1.35
207;Curtafond;CURTAFOND   ;1310;1140;82;46.266667;5.083333;1.11
208;Montcet;MONTCET   ;1310;1259;82;46.2;5.116667;0.78
209;Montracol;MONTRACOL   ;1310;1264;82;46.183333;5.116667;0.99
210;Saint-Martin-le-Châtel;SAINT MARTIN LE CHATEL;1310;1375;82;46.283333;5.116667;1.21
211;Buellas;BUELLAS   ;1310;1065;82;46.2;5.133333;0.73
212;Polliat;POLLIAT   ;1310;1301;82;46.25;5.133333;1.01
213;Saint-Rémy;SAINT REMY  ;1310;1385;82;46.183333;5.166667;1.47
214;Saint-Nizier-le-Désert;SAINT NIZIER LE DESERT;1320;1381;82;46.05;5.15;1.42
215;Chalamont;CHALAMONT   ;1320;1074;82;46.0;5.166667;0.65
216;Châtenay;CHATENAY   ;1320;1090;82;46.033333;5.2;0.65
217;Crans;CRANS   ;1320;1129;82;45.966667;5.216667;0.9
